importId;company_code;typeSelect;product_code;tax.code;productFamily.importId;paymentMode.importId;saleAccount_code;saleTaxVatSystem1Account_code;saleTaxVatSystem2Account_code;saleTax_code;purchaseAccount_code;purchaseTaxVatSystem1Account_code;purchaseTaxVatSystem2Account_code;purchaseTax.code;cashAccount_code;journal_importId;sequence_importId;bankDetails_importId;purchFixedAssetsAccount_code;purchFixedAssetsTaxVatSystem1Account_code;purchFixedAssetsTaxVatSystem2Account_code;fixedAssetCategory.importId;interbankCodeLine.importId;allowedFinDiscountTaxVatSystem1Account_code;allowedFinDiscountTaxVatSystem2Account_code;obtainedFinDiscountTaxVatSystem1Account_code;obtainedFinDiscountTaxVatSystem2Account_code;purchVatRegulationAccount_code;saleVatRegulationAccount_code;globalAccountingCashAccount_code;chequeDepositJournal_code;financialDiscountAccount.code
;BASE;1;7082-1;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-2;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-3;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-4;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-5;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-6;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-7;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-8;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-9;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7082-10;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-1;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-2;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-3;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-4;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-5;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-6;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-7;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-8;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-9;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-10;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-11;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-12;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-13;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-14;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-15;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-16;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-17;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-18;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-19;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;7084-20;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-1;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-2;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-3;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-4;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-5;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-6;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-7;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-8;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-9;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
;BASE;1;5015-10;;;;701000;;;EXP_X_C;;;;;;;;;;;;;;;;;;;;;;
