importId;name;code;description;internalDescription;productSubTypeSelect_item;productFamily_name;productCategory_name;expense;procurementMethodSelect;unit_name;purchasesunit_name;productTypeSelect;salePrice;saleCurrency_code;purchasePrice;purchaseCurrency_code;defaultSupplierPartner_name;startDate;endDate;saleSupplySelect_item;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial_importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig_importId;manageVariantPrice;grossMass;height;netMass;width;lengthunit_name;length;massunit_name;usedInDEB;countryOfOrigin_name;stockManaged;sellable;purchasable;shippingCoef
;TELA DE PUNTO ABIGAIL S.O NEGRO;4A1004260000000U985001;;;Component;;;;buy;metro;metro;storable;;;53600;COP;;;;;53600;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO ABIGAIL S.O BEIGE;4A1004260000000U425537;;;Component;;;;buy;metro;metro;storable;;;51000;COP;;;;;51000;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO ABIGAIL S.O CAFÉ;4A1004260000000U445503;;;Component;;;;buy;metro;metro;storable;;;51000;COP;;;;;51000;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA S.O NEGRO;4A1003260000000U985001;;;Component;;;;buy;metro;metro;storable;;;32100;COP;;;;;32100;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA C.O NEGRO;4A1000010000000U985001;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA S.O BEIGE;4A1003260000000U425537;;;Component;;;;buy;metro;metro;storable;;;32100;COP;;;;;32100;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA C.O BEIGE;4A1000010000000U425537;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA S.O CAFÉ;4A1003260000000U455520;;;Component;;;;buy;metro;metro;storable;;;32100;COP;;;;;32100;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA C.O CAFÉ;4A1000010000000U455520;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA COLOR ROSADO PASTEL;4A1000010000000U326002-2;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA C.O DURAZNO CLARO;100001U315539;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA S.O DURAZNO CLARO;100326U315539;;;Component;;;;buy;metro;metro;storable;;;32100;COP;;;;;32100;;;;;;;;;;;;;;;;;;;;true;false;true;
;MR PAR 85% PRECONSUMO TELA DE PUNTO BARANOA ECO CO ROJO EXQUISITO;4A1008630000000U257621;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;MR PAR 85% PRECONSUMO TELA DE PUNTO BARANOA ECO CO ROSA LUMINOSA;4A1008630000000U357070;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO BARANOA COLOR BLANCO;4A1000010000000U005009;;;Component;;;;buy;metro;metro;storable;;;39700;COP;;;;;39700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA C.O CAFÉ;4A3007420000000U455520-1;;;Component;;;;buy;metro;metro;storable;;;26700;COP;;;;;26700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA S.O BC CAFÉ;4A3204410000000U455520;;;Component;;;;buy;metro;metro;storable;;;21500;COP;;;;;21500;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA S.O BC NEGRO;4A3204410000000U985001;;;Component;;;;buy;metro;metro;storable;;;21500;COP;;;;;21500;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA C.O NEGRO;4A3007420000000U985001;;;Component;;;;buy;metro;metro;storable;;;28600;COP;;;;;28600;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA C.O BEIGE;4A3007420000000U425537;;;Component;;;;buy;metro;metro;storable;;;26700;COP;;;;;26700;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA S.O BC HABANO;4A3204410000000U425537;;;Component;;;;buy;metro;metro;storable;;;21500;COP;;;;;21500;;;;;;;;;;;;;;;;;;;;true;false;true;
;TELA DE PUNTO TABITA C.O AZUL;4A3007420000000U775202;;;Component;;;;buy;metro;metro;storable;;;28600;COP;;;;;28600;;;;;;;;;;;;;;;;;;;;true;false;true;
