importId;name;code;description;internalDescription;productSubTypeSelect_item;productFamily_name;productCategory_name;expense;procurementMethodSelect;unit_name;purchasesunit_name;salesunit_name;productTypeSelect;salePrice;saleCurrency_code;purchasePrice;purchaseCurrency_code;defaultSupplierPartner_name;startDate;endDate;saleSupplySelect_item;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial_importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig_importId;manageVariantPrice;grossMass;height;netMass;width;lengthunit_name;length;massunit_name;usedInDEB;countryOfOrigin_name;stockManaged;sellable;purchasable;shippingCoef
;TICKY TICKI  2XS NEGRO;7082-1;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  XS NEGRO;7082-2;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  S NEGRO;7082-3;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  M NEGRO;7082-4;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  L NEGRO;7082-5;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  XL NEGRO;7082-6;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  2XL NEGRO;7082-7;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  3XL NEGRO;7082-8;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  4XL NEGRO;7082-9;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;TICKY TICKI  5XL NEGRO;7082-10;;;Finished product;;;false;produce;unidad;;unidad;storable;139.99;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 2XS NEGRO;7084-1;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA XS NEGRO;7084-2;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA S NEGRO;7084-3;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA M NEGRO;7084-4;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA L NEGRO;7084-5;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA XL NEGRO;7084-6;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 2XL NEGRO;7084-7;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 3XL NEGRO;7084-8;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 4XL NEGRO;7084-9;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 5XL NEGRO;7084-10;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 2XS BEIGE;7084-11;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA XS BEIGE;7084-12;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA S BEIGE;7084-13;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA M BEIGE;7084-14;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA L BEIGE;7084-15;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA XL BEIGE;7084-16;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 2XL BEIGE;7084-17;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 3XL BEIGE;7084-18;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 4XL BEIGE;7084-19;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;SHORT ELA 5XL BEIGE;7084-20;;;Finished product;;;false;produce;unidad;;unidad;storable;65;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
;PRINCESS 2XS NEGRO;5015-1;;;Finished product;;;false;produce;unidad;;unidad;storable;135;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;true;true;false;
