importId;product_code;name;qty;priority;defineSubBillOfMaterial;unit_name;prodProcess_code;costPrice;company_code;hasNoManageStock;workshopStockLocation_name;billOfMaterials
9900001;4A1000010000000U985001;TELA DE PUNTO BARANOA C.O NEGRO;0.4;10;false;metro;;0;BASE;false;;
9900002;4A1000020000000U985001;TELA DE PUNTO FRANCINE CO NEGRO;0.53;10;false;metro;;0;BASE;false;;
9900003;X02531;CONFORT FILM CHM 35 ROLLO X 500 M ANCHO 1.50 M ( HOTMEL );0.03;10;false;metro;;0;BASE;false;;
9900004;614E6037-2;ELASTICO BASE ENCAJE SILICONA 2L COLOR 99-0000 NEGRO ( ENCAJE CON FLOR );0.98;10;false;metro;;0;BASE;false;;
9900005;37516000-1;ELASTICO BASE 99-0001 NEGRO ( SESGO );2.14;10;false;metro;;0;BASE;false;;
9900006;GAFETE 3/4 3 X 2;GAFETE 3/4 3 X 2;2;10;false;Unidad;;0;BASE;false;;
9900007;3500001000016-1;ABROCHADURA ACERO 3 POSICIONES POR METROS BROCHE 1.0 NEGRO;0.35;10;false;metro;;0;BASE;false;;
9900008;21280580;CREM POLIE FIJA 3 AUTOMA 028 CTMS CFC36 DA E NEGRO;1;10;false;Unidad;;0;BASE;false;;
9900009;6191900;ZETA 1 619 9 mm DORADO PRE;1;10;false;Unidad;;0;BASE;false;;
9900010;3188MIC-1;ELASTICO TIRA MIC 8 MM 99-0000 NEGRO;0.12;10;false;metro;;0;BASE;false;;
9900011;526/16.00701-1;ELASTICO 526/16 NEGRO (TIRA BRASIER - 15 MM);1.36;10;false;metro;;0;BASE;false;;
9900012;51C2120-05AVA;NYLTEX 120T24 CONE TXN NEGRO (HILAZA);1.5;10;false;metro;;0;BASE;false;;
9900013;3157080-C9700;EPIC HL80T40 CONE PPC NEGRO (HILO);3805;10;false;metro;;0;BASE;false;;
9900014;353;HILAZA NYLON NEGRO (HILAZA CONO CARTON);1.5;10;false;metro;;0;BASE;false;;
9900015;HA71;HILAZA NYLON CREMA (HILAZA CONO CARTON);1.5;10;false;metro;;0;BASE;false;;
9900016;LATEX 450 NEGRO TIPO A;LATEX 450 NEGRO TIPO A;0.02;10;false;metro;;0;BASE;false;;
9900017;LAMINA POWERNET 20X56 LATEX;LAMINA POWERNET 20X56 LATEX;1;10;false;Unidad;;0;BASE;false;;
9900018;101465-1;VENTA DE BOLSA PLANA CON GANCHO POWERNET (SI LA FAJA NO LLEVA VARILLAS);1;10;false;Unidad;;0;BASE;false;;
9900019;MARQUILLA;MARQUILLA;1;10;false;Unidad;;0;BASE;false;;
9900020;MARQUILLA IMPORTADOR;MARQUILLA IMPORTADOR;1;10;false;Unidad;;0;BASE;false;;
9900021;7082-1;TICKY TICKI  2XS NEGRO;1;10;true;unidad;PP-7082-1;0;BASE;false;Main Workshop;9900001|9900002|9900003|9900004|9900005|9900006|9900007|9900008|9900009|9900010|9900011|9900012|9900013|9900014|9900015|9900016|9900017|9900018|9900019|9900020
9900022;4A1000010000000U985001;TELA DE PUNTO BARANOA C.O NEGRO;0.42;10;false;metro;;0;BASE;false;;
9900023;4A1000020000000U985001;TELA DE PUNTO FRANCINE CO NEGRO;0.54;10;false;metro;;0;BASE;false;;
9900024;X02531;CONFORT FILM CHM 35 ROLLO X 500 M ANCHO 1.50 M ( HOTMEL );0.03;10;false;metro;;0;BASE;false;;
9900025;614E6037-2;ELASTICO BASE ENCAJE SILICONA 2L COLOR 99-0000 NEGRO ( ENCAJE CON FLOR );1.02;10;false;metro;;0;BASE;false;;
9900026;37516000-1;ELASTICO BASE 99-0001 NEGRO ( SESGO );2.16;10;false;metro;;0;BASE;false;;
9900027;GAFETE 3/4 3 X 2;GAFETE 3/4 3 X 2;2;10;false;Unidad;;0;BASE;false;;
9900028;3500001000016-1;ABROCHADURA ACERO 3 POSICIONES POR METROS BROCHE 1.0 NEGRO;0.35;10;false;metro;;0;BASE;false;;
9900029;21280580;CREM POLIE FIJA 3 AUTOMA 028 CTMS CFC36 DA E NEGRO;1;10;false;Unidad;;0;BASE;false;;
9900030;6191900;ZETA 1 619 9 mm DORADO PRE;1;10;false;Unidad;;0;BASE;false;;
9900031;3188MIC-1;ELASTICO TIRA MIC 8 MM 99-0000 NEGRO;0.12;10;false;metro;;0;BASE;false;;
9900032;526/16.00701-1;ELASTICO 526/16 NEGRO (TIRA BRASIER - 15 MM);1.36;10;false;metro;;0;BASE;false;;
9900033;51C2120-05AVA;NYLTEX 120T24 CONE TXN NEGRO (HILAZA);1.5;10;false;metro;;0;BASE;false;;
9900034;3157080-C9700;EPIC HL80T40 CONE PPC NEGRO (HILO);3805;10;false;metro;;0;BASE;false;;
9900035;353;HILAZA NYLON NEGRO (HILAZA CONO CARTON);1.5;10;false;metro;;0;BASE;false;;
9900036;HA71;HILAZA NYLON CREMA (HILAZA CONO CARTON);1.5;10;false;metro;;0;BASE;false;;
9900037;LATEX 450 NEGRO TIPO A;LATEX 450 NEGRO TIPO A;0.02;10;false;metro;;0;BASE;false;;
9900038;LAMINA POWERNET 20X56 LATEX;LAMINA POWERNET 20X56 LATEX;1;10;false;Unidad;;0;BASE;false;;
9900039;101465-1;VENTA DE BOLSA PLANA CON GANCHO POWERNET (SI LA FAJA NO LLEVA VARILLAS);1;10;false;Unidad;;0;BASE;false;;
9900040;MARQUILLA;MARQUILLA;1;10;false;Unidad;;0;BASE;false;;
9900041;MARQUILLA IMPORTADOR;MARQUILLA IMPORTADOR;1;10;false;Unidad;;0;BASE;false;;
