inventory_description;product_code;currentQty;realQty;description;productVariant_importId;trackingNumber.importId;stockLocation_name
Inventario Inicial;4A1004260000000U985001;1064;1064;;;;Main Workshop
Inventario Inicial;4A1004260000000U425537;1650.5;1650.5;;;;Main Workshop
Inventario Inicial;4A1004260000000U445503;1152;1152;;;;Main Workshop
Inventario Inicial;4A1003260000000U985001;3707.6;3707.6;;;;Main Workshop
Inventario Inicial;4A1000010000000U985001;0;0;;;;Main Workshop
Inventario Inicial;4A1003260000000U425537;3481;3481;;;;Main Workshop
Inventario Inicial;4A1000010000000U425537;0;0;;;;Main Workshop
Inventario Inicial;4A1003260000000U455520;3334.1;3334.1;;;;Main Workshop
Inventario Inicial;4A1000010000000U455520;0;0;;;;Main Workshop
Inventario Inicial;4A1000010000000U326002-2;535;535;;;;Main Workshop
Inventario Inicial;100001U315539;0;0;;;;Main Workshop
Inventario Inicial;100326U315539;0;0;;;;Main Workshop
Inventario Inicial;4A1008630000000U257621;0;0;;;;Main Workshop
Inventario Inicial;4A1008630000000U357070;0;0;;;;Main Workshop
Inventario Inicial;4A1000010000000U005009;0;0;;;;Main Workshop
Inventario Inicial;4A3007420000000U455520-1;0;0;;;;Main Workshop
Inventario Inicial;4A3204410000000U455520;0;0;;;;Main Workshop
Inventario Inicial;4A3204410000000U985001;6351.1;6351.1;;;;Main Workshop
Inventario Inicial;4A3007420000000U985001;0;0;;;;Main Workshop
Inventario Inicial;4A3007420000000U425537;2739.3;2739.3;;;;Main Workshop
Inventario Inicial;4A3204410000000U425537;0;0;;;;Main Workshop
Inventario Inicial;4A3007420000000U775202;810.6;810.6;;;;Main Workshop
Inventario Inicial;4A3007420000000U348014;609.3;609.3;;;;Main Workshop
Inventario Inicial;4A3007420000000U455520-2;943.7;943.7;;;;Main Workshop
Inventario Inicial;4A3007420000000U666208;691.1;691.1;;;;Main Workshop
Inventario Inicial;4A3404410000000U335511;0;0;;;;Main Workshop
Inventario Inicial;4A3204410000000U367515;0;0;;;;Main Workshop
Inventario Inicial;4A3008120000000U626005;0;0;;;;Main Workshop
Inventario Inicial;4A3007420000000U635022;0;0;;;;Main Workshop
Inventario Inicial;4A3204410000000U358602;0;0;;;;Main Workshop
Inventario Inicial;4A3204410000000U326002;195.3;195.3;;;;Main Workshop
Inventario Inicial;4A1005750000000U005009-1;0;0;;;;Main Workshop
Inventario Inicial;4A1005750000000U985001;204;204;;;;Main Workshop
Inventario Inicial;4A2002600001000U985001;0;0;;;;Main Workshop
Inventario Inicial;4A1005750000000U005009-2;0;0;;;;Main Workshop
Inventario Inicial;4A2002600001000U425537;172;172;;;;Main Workshop
Inventario Inicial;4A1004630000000U005001;988.5;988.5;;;;Main Workshop
Inventario Inicial;F PRIMERAS NEGRO;1855.9;1855.9;;;;Main Workshop
Inventario Inicial;F PRIMERAS BEIGE;921;921;;;;Main Workshop
Inventario Inicial;4A3004710000000U985001;117.5;117.5;;;;Main Workshop
Inventario Inicial;4A3000080000000U985001;0;0;;;;Main Workshop
Inventario Inicial;4A3004710000000U425537;669.5;669.5;;;;Main Workshop
Inventario Inicial;4A3004710000000U445506;1497.1;1497.1;;;;Main Workshop
Inventario Inicial;4A3004710000000U315539;305.7;305.7;;;;Main Workshop
Inventario Inicial;4A3000080000000U315539;0;0;;;;Main Workshop
Inventario Inicial;4A3004710000000U326002;148.5;148.5;;;;Main Workshop
Inventario Inicial;4A3000000000000U326002;0;0;;;;Main Workshop
Inventario Inicial;4A3000080000000U005009;0;0;;;;Main Workshop
Inventario Inicial;4A100210000000U985001;2701.4;2701.4;;;;Main Workshop
Inventario Inicial;4A100210000000U425537;2357.2;2357.2;;;;Main Workshop
Inventario Inicial;4A100210000000U455520;2568.5;2568.5;;;;Main Workshop
Inventario Inicial;4A1000020000000U985001;1410.5;1410.5;;;;Main Workshop
Inventario Inicial;4A1000020000000U425537;1280.8;1280.8;;;;Main Workshop
Inventario Inicial;4A1000020000000U455520;924.8;924.8;;;;Main Workshop
Inventario Inicial;4A1000020000000U315539;446;446;;;;Main Workshop
Inventario Inicial;4A1000020000000U005009;22.25;22.25;;;;Main Workshop
Inventario Inicial;4A1000020000000U326002;562.3;562.3;;;;Main Workshop
Inventario Inicial;441668-RMI0955-1;55.26;55.26;;;;Main Workshop
Inventario Inicial;441668-RMI0955-2;0;0;;;;Main Workshop
Inventario Inicial;443972-RMI0997-1;0;0;;;;Main Workshop
Inventario Inicial;443972-RMI0997-2;0;0;;;;Main Workshop
Inventario Inicial;441668-OMC1223;1214.7;1214.7;;;;Main Workshop
Inventario Inicial;441668-PMC1066;96.6;96.6;;;;Main Workshop
Inventario Inicial;ESPUMA 3MM;12;12;;;;Main Workshop
Inventario Inicial;X02531;1500;1500;;;;Main Workshop
Inventario Inicial;GARRA ANN MICHELL FITNESS WITH LATEX 10 X 10 BRILLANTE;266;266;;;;Main Workshop
Inventario Inicial;GARRA ANN MICHELL FITNESS WITH LATEX 10 X 10 MATE;403;403;;;;Main Workshop
Inventario Inicial;GARRA FITNESS WITH LATEX 10 X 10 BRILLANTE;653;653;;;;Main Workshop
Inventario Inicial;GARRA FITNESS WITH LATEX 10 X 10 MATE;1654;1654;;;;Main Workshop
Inventario Inicial;GARRA FITNESS WITH LATEX 10 X 10 TELA;8553;8553;;;;Main Workshop
Inventario Inicial;GARRA BELLA MICHELL FITNESS WITH LATEX 10 X 10 BRILLANTE;363;363;;;;Main Workshop
Inventario Inicial;GARRA BELLA MICHELL FITNESS WITH LATEX 10 X 10 MATE;78;78;;;;Main Workshop
Inventario Inicial;GARRA ANN ROSA FITNESS WITH LATEX 10 X 10 BRILLANTE;147;147;;;;Main Workshop
Inventario Inicial;GARRA YANI LUNA FITNESS WITH LATEX 10 X 10 BRILLANTE;156;156;;;;Main Workshop
Inventario Inicial;GARRA SIZE'S BEAUTY FITNESS WITH LATEX 10 X 10 BRILLANTE;0;0;;;;Main Workshop
Inventario Inicial;GARRA BOMBOSHELL FITNESS WITH LATEX 10 X 10 PLATEADO;520;520;;;;Main Workshop
